PassengerId,Sex,Age,Pclass,Companions,Fare,Embarked_C,Embarked_Q,Embarked_S,Survived
1,male,22.0,3,1,7.25,0,0,1,0
2,female,38.0,1,1,71.28,1,0,0,1
3,female,26.0,3,0,7.92,0,0,1,1
4,female,35.0,1,1,53.1,0,0,1,1
5,male,35.0,3,0,8.05,0,0,1,0
6,male,30.0,3,0,8.46,0,1,0,0
7,male,54.0,1,0,51.86,0,0,1,0
8,male,2.0,3,1,21.07,0,0,1,0
9,female,27.0,3,0,11.13,0,0,1,1
10,female,14.0,2,1,30.07,1,0,0,1
11,female,4.0,3,1,16.7,0,0,1,1
12,female,58.0,1,0,26.55,0,0,1,1
13,male,20.0,3,0,8.05,0,0,1,0
14,male,39.0,3,1,31.27,0,0,1,0
15,female,14.0,3,0,7.85,0,0,1,0
16,female,55.0,2,0,16.0,0,0,1,1
17,male,2.0,3,1,29.12,0,1,0,0
18,male,30.0,2,0,13.0,0,0,1,1
19,female,31.0,3,1,18.0,0,0,1,0
20,female,30.0,3,0,7.22,1,0,0,1
21,male,35.0,2,0,26.0,0,0,1,0
22,male,34.0,2,0,13.0,0,0,1,1
23,female,15.0,3,0,8.03,0,1,0,1
24,male,28.0,1,0,35.5,0,0,1,1
25,female,8.0,3,1,21.07,0,0,1,0
26,female,38.0,3,1,31.39,0,0,1,1
27,male,30.0,3,0,7.22,1,0,0,0
28,male,19.0,1,1,263.0,0,0,1,0
29,female,30.0,3,0,7.88,0,1,0,1
30,male,30.0,3,0,7.9,0,0,1,0
31,male,40.0,1,0,27.72,1,0,0,0
32,female,30.0,1,1,146.52,1,0,0,1
33,female,30.0,3,0,7.75,0,1,0,1
34,male,66.0,2,0,10.5,0,0,1,0
35,male,28.0,1,1,82.17,1,0,0,0
36,male,42.0,1,1,52.0,0,0,1,0
37,male,30.0,3,0,7.23,1,0,0,1
38,male,21.0,3,0,8.05,0,0,1,0
39,female,18.0,3,1,18.0,0,0,1,0
40,female,14.0,3,1,11.24,1,0,0,1
